"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","positive","positiveIncrease","states","totalTestResults","totalTestResultsIncrease"
"2020-07-13",127978,329,11749,6063,1120,54118,261282,21898567,337758,1142,2254,3344230,57160,56,44674570,752051
"2020-07-12",127649,472,11679,5930,894,52860,260162,21560809,399792,1136,2182,3287070,61605,56,43922519,816186
"2020-07-11",127177,755,11612,5939,5088,51982,259268,21161017,368719,1128,2169,3225465,62569,56,43106333,818773
"2020-07-10",126422,839,11523,5899,2196,51724,254180,20792298,406788,1118,2192,3162896,67111,56,42287560,899439
"2020-07-09",125583,863,11370,5843,1661,44051,251984,20385510,411905,1138,2129,3095785,59062,56,41388121,844238
"2020-07-08",124720,819,11303,5872,1890,43207,250323,19973605,336162,1103,2167,3036723,62813,56,40543883,780166
"2020-07-07",123901,905,11177,5838,1976,41949,248433,19637443,301351,1084,2102,2973910,50990,56,39763717,725607
"2020-07-06",122996,237,11058,5678,762,39960,246457,19336092,244479,1070,2104,2922920,40925,56,39038110,648042
"2020-07-05",122759,209,11010,5653,582,38872,245695,19091613,321291,1064,2080,2881995,45334,56,38390068,640849
"2020-07-04",122550,296,10977,5633,872,38281,245113,18770322,311088,1063,1982,2836661,54881,56,37749219,677956
"2020-07-03",122254,603,10936,5597,1358,37927,244241,18459234,365468,1059,2049,2781780,54199,56,37071263,783729
"2020-07-02",121651,699,10843,5636,1697,37646,242883,18093766,353717,1041,2104,2727581,53511,56,36287534,774602
"2020-07-01",120952,698,10752,5492,1429,36526,241186,17740049,349596,1027,2099,2674070,51046,56,35512932,734021
"2020-06-30",120254,579,10669,5426,1473,35337,239757,17390453,331248,1008,2044,2623024,47010,56,34778911,713263
"2020-06-29",119675,336,10542,5389,731,33742,238284,17059205,362304,990,2021,2576014,39398,56,34065648,671975
"2020-06-28",119339,273,10473,5252,547,32575,237553,16696901,300531,983,2077,2536616,41745,56,33393673,619094
"2020-06-27",119066,508,10415,5314,1058,32566,237006,16396370,303524,977,2159,2494871,43058,56,32774579,700167
"2020-06-26",118558,618,10334,5290,1542,31850,235948,16092846,330949,966,2069,2451813,44340,56,32074412,790975
"2020-06-25",117940,648,10257,5319,1296,31922,234406,15761897,345056,951,2214,2407473,39707,56,31283437,706091
"2020-06-24",117292,704,10173,5292,1246,31270,233110,15416841,276303,934,2247,2367766,39117,56,30577346,557371
"2020-06-23",116588,724,10077,5392,1271,30355,231864,15140538,230594,918,2292,2328649,33447,56,30019975,657474
"2020-06-22",115864,288,10002,5325,824,28963,230593,14909944,231859,909,2301,2295202,26829,56,29362501,490847
"2020-06-21",115576,293,9944,5195,519,28325,229769,14678085,242305,904,2321,2268373,29188,56,28871654,499164
"2020-06-20",115283,615,9908,5229,699,28084,229250,14435780,282338,888,2380,2239185,32236,56,28372490,606280
"2020-06-19",114668,652,9876,5337,1578,28693,228551,14153442,342200,884,2433,2206949,30865,56,27766210,652776
"2020-06-18",114016,682,9736,5472,1108,28538,226973,13811242,254224,869,2518,2176084,27042,56,27113434,555774
"2020-06-17",113334,780,9665,5608,1077,28647,225865,13557018,274054,857,2584,2149042,24153,56,26557660,555419
"2020-06-16",112554,720,9590,5570,1184,28370,224788,13282964,249410,845,2591,2124889,22838,56,26002241,502082
"2020-06-15",111834,385,9516,5700,664,28034,223604,13033554,233173,835,2636,2102051,18255,56,25500159,446109
